content,ename,more,name
过气影帝宇哥（吴镇宇 饰）与当红童星费曼（费曼 饰）因一场拍摄意外而陷入黑帮纷争的故事。失忆的宇哥意外“入戏”，以为自己就是真正的社团大哥，为了赚钱照顾儿子决定重出江湖，殊不知时代已经改变，引发一连串令人啼笑皆非的乌龙事件，更上演了险象环生的黑帮纷争……,吴镇宇,Change of Gangster,中国大陆,2019-04-19大陆上映,"Change of Gangster,剧情,喜剧,动作,
        中国大陆
          / 90分钟
        ,2019-04-19大陆上映",/ 90分钟,"剧情,喜剧,动作",转型团伙
古灵精怪的十二岁女孩朱妮小六月（索菲亚·玛丽 配音），偶然间她发现了一座神奇的乐园。小六月在乐园里遇到了憨厚可掬的蓝熊布默（肯·哈德森·坎贝尔 配音），善良的疣猪格里塔（米拉·库尼斯 配音），贫嘴的豪猪史蒂夫（约翰·奥利弗 配音），滑稽搞笑的海狸兄弟库珀（郑肯 配音）和格斯（基南·汤普森 配音），充满奇幻想象力的首领和乐园里炙手可热的动物明星猴子花生（诺尔贝特·里奥·布茨 配音），并很快和它们成为朋友。这座隐藏在森林中的神奇乐园不仅有着形形色色的动物，还有很多惊险刺激的游乐设施。但从动物朋友口中，小朱妮得知乐园已经衰败无法运营。很快，小朱妮就意识到这座神奇乐园和她之前想象中的乐园一模一样。只有她能拯救这座已经没落的乐园。于是，她和动物朋友们组成了一只小分队，希望帮助乐园重现昔日繁华。,Dylan Brown,Wonder Park,"美国,西班牙",2019-04-19大陆上映,"Wonder Park,动画,冒险,喜剧,家庭,
        美国,西班牙
          / 85分钟
        ,2019-04-19大陆上映",/ 85分钟,"动画,冒险,喜剧,家庭",神奇乐园历险记
25年前一个风暴将至的夜晚，小男孩尼克目睹了邻居杀妻的全过程，被凶手发现的他在逃跑途中被车撞死。尼克死去25年后，幸福的已婚妇女维拉（阿德丽安娜·尤加特 饰）搬进了尼克住过的这所房子。一场和25年前一样的风暴让两段时空交错，惊醒的维拉发现自己竟能与电视机里的尼克跨时空对话。维拉透过电视机试图挽救这个男孩的性命，却引发一系列连锁反应——女儿消失、丈夫和身边的人全都不再认识和相信自己。于是，维拉只能在风暴消失前有限的15小时里，与唯一相信她的莱拉警长（奇诺·达林 饰）解开所有谜团……,奥里奥尔·保罗,Mirage,西班牙,2019-03-28 18:00大陆上映,"Mirage,悬疑,科幻,爱情,
        西班牙
          / 129分钟
        ,2019-03-28 18:00大陆上映",/ 129分钟,"悬疑,科幻,爱情",海市蜃楼
国内知名女设计师袁元（俞飞鸿 饰），日本留学归国，气质出众，事业成功，多年的合伙人雷明也对她照顾有加。然而，看似人生赢家的袁元，内心深处却始终隐藏着一个难以放下的心结。在遇到事业瓶颈时，一位日本女孩（木下彩音 饰）的突然出现打破了袁元原本风平浪静的生活，一段关于北海道的神秘往事也随之展开……,毕国智,Wish You Were Here,中国大陆,2019-04-12大陆上映,"Wish You Were Here,剧情,
        中国大陆
          / 120分钟
        ,2019-04-12大陆上映",/ 120分钟,剧情,在乎你
廉政公署收到报案人廖雨萍（周秀娜 饰）的实名举报，举报正在坐牢的富二代曹元元（林峯 饰）涉嫌行贿监狱里的监督沈济全（谭耀文 饰）以及惩教员，首席调查主任陆志廉（古天乐 饰）决定深入虎穴，卧底狱中。在监狱里，被陆志廉送入监狱的前警司黄文彬（林家栋 饰）以及曹元元两大帮派势成水火，陆志廉趁机接近曹元元取得信任。同时监狱外的廉政公署总调查主任程德明（郑嘉颖 饰）、国内反贪局行动处处长洪亮（丁海峰 饰）也陆港联手，通力合作，最终成功破获贪腐行贿大案。,林德禄,P Storm,"中国香港,中国大陆",2019-04-04大陆上映,"P Storm,剧情,动作,犯罪,
        中国香港,中国大陆
          / 98分钟
        ,2019-04-04大陆上映",/ 98分钟,"剧情,动作,犯罪",反贪风暴4
豫剧电影《清风亭》由朱赵伟导演执导、李学庭担当编剧，李阿梦担当执行导演，李树建、柏青领衔主演，青年演员王爱霞、王献光、郭付有、祁秋娥、刘晓光、吴江南等联袂出演。作为流传百年的古典名剧，《清风亭》故事家喻户晓，经改编由李树建重新搬上舞台，国内外演出千余场，此次，作为“忠孝节”悲情三部曲中的第二部，李树建联手电影改革派代表朱赵伟导演将这部感人剧目继《程婴救孤》后又搬上了大银幕。 电影版《清风亭》故事脉络更加清晰，采用电影的艺术手段将实景结合棚景拍摄，是为古典剧目影视表达的一次大胆尝试。片中的主题超越传统道德层面，挑战情感突破道德底线，立足于人物命运情感，对贫与富、恩与仇、名与利深入剖析，直指人性深处，传达了一种具有普遍价值观的人类情感。,朱赵伟,Qing Feng Ting,中国大陆,2011-04-08大陆上映,"Qing Feng Ting,古装,
        中国大陆
        ,2011-04-08大陆上映",,古装,清风亭
本片讲述了一桩因“狗咬狗”引发的连锁故事。余峰（黄磊 饰）、亮亮（闫妮 饰）、余一诺（安吉 饰）家的小狗妮蔻，为了救主人被隔壁藏獒咬成重伤，有权有势的藏獒主人却对余峰一家百般刁难。面对种种不公，余峰不再忍气吞声，发誓要为小狗讨回公道，但柴女士（汤唯 饰）等人的出现，却让矛盾进一步激化......狗生不易，小狗愿意用生命守护我们，我们又能为它做什么呢？,吴楠,Push and Shove,中国大陆,2019-04-20大陆上映,"Push and Shove,剧情,家庭,
        中国大陆
          / 91分钟
        ,2019-04-20大陆上映",/ 91分钟,"剧情,家庭",狗眼看人心
小提琴家陆松（陈晓 饰）与室内设计师文罂（杜鹃 饰）巴黎邂逅，不打不相识，彼此迷恋越陷越深。爱情之名怂恿着他们为爱再大胆一次，走出各自问题满满的情感关系。仿佛只要现任变前任，幸福就唾手可得。然而前任们也都是战士，文罂的前任郑可（华少 饰）是个理性至极的医生，陆松的前任刘娟（马苏 饰）则在情感社区开启了喋喋不休的骂战，是继续坚持对爱的信仰，还是选择放下与原谅重新开始？现代都市情感危机在北京与巴黎街头上演。越是深爱的，往往也正是痛苦的源头，爱情，像是影子，抓不住却也离不开，如影随心……,霍建起,Lost In Love,中国大陆,2019-04-19 08:00大陆上映,"Lost In Love,爱情,
        中国大陆
          / 96分钟
        ,2019-04-19 08:00大陆上映",/ 96分钟,爱情,如影随心
每个人身体里都潜藏着一位超级英雄，只需要一点魔力便能将其释放。14岁的街头小混混比利·巴特森(亚瑟·安其 饰)通过大喊“沙赞”这个词，就可以变身为成年超级英雄沙赞(扎克瑞·莱维 饰)，这是一种来自于古老巫师的恩惠。如神一般的肌肉身体里，仍存有一颗孩子心，他开心地与超能力为伴。他能飞吗？他能X光透视吗？他能从手中射出闪电吗？他能不用再考试了吗？沙赞以孩子般轻率又鲁莽的方式，开始测试他的能力极限。但他需要尽快掌握这些力量，以对抗塞迪斯·希瓦纳博士（马克·斯特朗 饰）控制的邪恶势力。,大卫·F·桑德伯格,Shazam!,美国,2019-04-05大陆上映,"Shazam!,动作,冒险,奇幻,
        美国
          / 132分钟
        ,2019-04-05大陆上映",/ 132分钟,"动作,冒险,奇幻",雷霆沙赞！
在一个远离京城的幽静田野，胡子拉碴的保长欢哥（古天乐 饰）慵懒倦怠，过着百无聊赖的生活。他的老婆红姐（吴君如 饰）经营一家包子铺，厨艺上佳，持家有道。夫妻俩看似讷言平庸，胸无大志，却很少有人知道他们曾经有着怎样的传奇经历。遥想当年，京城出了两个名震江湖的侠客炯炯侠和香香侠，他们济弱扶贫，惩恶扬善。两个大侠互相较劲，狭路相逢，却由此一见钟情，携手归隐江湖。他们隐藏着自己的一身武功和令人惊叹的超能力，决心安顿下来买间房子再生个孩子。谁曾想事与愿违，夫妇俩始终没有孩子令他们颇为烦恼，而就在此时一场武林大会突然在小山村召开，他们沉静的生活被彻底打破……,谷德昭,Mr. and Mrs. Incredible,"中国大陆,中国香港",2011-02-03大陆上映,"Mr. and Mrs. Incredible,喜剧,
        中国大陆,中国香港
          / 100分钟
        ,2011-02-03大陆上映",/ 100分钟,喜剧,神奇侠侣
1985年的南宿一中，苗宛秋（于谦 饰）老师推自行车昂首走在校园，接受着人们艳羡的目光和纷至沓来的恭维。 桀傲不驯的洛小乙（王广源 饰）、温婉可人的安静（汤梦佳 饰）、新潮前卫的关婷婷（秦鸣悦 饰）、大智若愚的脑袋、舞痴兄弟文明（郝鹏飞 饰）建设（郜玄铭 饰）、八婆海燕（徐紫茵 饰）、奸商耗子（孙艺杨 饰）……三班是一个永远也不缺故事的集体。 苗宛秋怎么也不会想到，他即将走进的这个三班将会成为他以及他身边这辆自行车的噩梦。三班的同学也没有想到，这位新来的老师改变了他们的一生。,张栾,Song of Youth,中国大陆,2019-03-22大陆上映,"Song of Youth,剧情,喜剧,
        中国大陆
          / 111分钟
        ,2019-03-22大陆上映",/ 111分钟,"剧情,喜剧",老师·好
影片讲述了一直假装盲人的钢琴调音师阿卡什（阿尤斯曼·库拉纳 饰），在意外成为一起凶杀案的“目击证人”后，所遭遇的种种出其不意的经历。,斯里兰姆·拉格万,AndhaDhun,印度,2019-04-03 18:00大陆上映,"AndhaDhun,悬疑,犯罪,喜剧,
        印度
          / 137分钟
        ,2019-04-03 18:00大陆上映",/ 137分钟,"悬疑,犯罪,喜剧",调音师
在马戏团老板麦克斯·美第奇（丹尼·德维托 饰）雇佣下，过气马戏明星霍尔特·法瑞尔（柯林·法瑞尔 饰）与儿女米莉（妮可·帕克 饰）和乔（芬利·霍宾斯 饰）一起，照顾刚出生就因耳朵巨大而受到嘲笑的小飞象。当三人发现小飞象真的会飞时，原本苦苦挣扎的马戏团重获新生，也招来企业家V.A.范德维尔（迈克尔·基顿 饰）的注意，邀请小飞象加入他旗下不同凡响的游乐设施，梦想王国。在那里，小飞象与迷人的空中杂技演员柯蕾特·马尔尚（爱娃·格林 饰）一起展翅高飞，但霍尔特却发现梦想王国光鲜的外表之下，藏着无数黑暗的秘密。,蒂姆·波顿,Dumbo,美国,2019-03-29大陆上映,"Dumbo,动画,奇幻,家庭,
        美国
          / 112分钟
        ,2019-03-29大陆上映",/ 112分钟,"动画,奇幻,家庭",小飞象
影片由9个温暖励志的小故事组成，讲述9个弱势儿童群体追梦的故事。9个故事分别关注的是：贫困儿童、读写困难儿童、智障儿童、被拐卖儿童、盲童、肥胖儿童、聋哑儿童、少数民族留守儿童、服刑人员子女。 《有一天》包含的九支短片： 《独唱乐团》-聋哑儿童 他们住在寂静无声的世界里， 却能唱出最纯粹的歌。 《疯狂的面包》-智障儿童 他们终其一生都无法长大，但他们也拥有自己的悲伤快乐。 《回家的路》-被拐卖儿童 他们现在流落街头，但他们也曾是父母心头的宝贝。 《看不见的画》-视力障碍儿童 他们住在黑暗无光的世界里，却可能比我们看到更多。 《小笨蛋日记》-读写困难儿童 他们不会读课文，不会写作业，却可能是个小天才。 《太阳会飞》-服刑人员子女 他们的父母在接受惩罚，但他们依然值得被疼爱。 《小小电影院》-贫困儿童 他们的生活中少有光影故事，但他们依然有权利放飞梦想。 《秋扎》-肥胖儿童 他们的生活或许沉重，但如果给他们多一些关注，他们也会散发光彩。 《礼物》-留守儿童 他们的语言已经行将消失，但他们的文化依然是不一样的烟火。,李睿珺,One Day,中国大陆,2014-09-10大陆上映,"One Day,剧情,爱情,科幻,
        中国大陆
          / 93分钟
        ,2014-09-10大陆上映",/ 93分钟,"剧情,爱情,科幻",有一天
《速度与激情》（Fast and Furious）系列主演兼制片人文·迪塞尔（Vin Diesel）在Facebook上透露，他还要再拍三集才会结束这个系列。 迪塞尔说：“环球公司一直对我非常好，给予我充分的信任，我们就像一家人。我向他们承诺过，我会再拍三集来结束这个系列。” 不过文·迪塞尔今天回应说，这个系列对自己十分特别，因此会处处小心对待。而且目前《速度与激情8》还没有剧本，更别提邀请导演了。不过他将很快宣布新的导演人选，让广大粉丝不要担心。 《速度与激情8》将于2017年4月14日上映，而《速度与激情9》恐怕要等到四、五年后才能与观众见面了，至于《速度与激情10》则至少要到2020年后。,林诣彬,Fast & Furious 10,美国,2021-04-02美国上映,"Fast & Furious 10,动作,惊悚,犯罪,
        美国
          / 90分钟
        ,2021-04-02美国上映",/ 90分钟,"动作,惊悚,犯罪",速度与激情10
夏目（神谷浩史 配音）在一次归还妖怪名字的过程中，结识了外祖母玲子（小林沙苗 配音）的旧识津村容莉枝岛本须美 配音）和她的儿子椋雄（高良健吾 配音）。在与其接触后，夏目的“保镖”猫咪老师（井上和彦 配音）竟第一次意外分裂成了三只！夏目能否解决危机？这对母子又与妖怪有何关系？,大森贵弘,夏目友人帳 ～うつせみに結ぶ～,日本,2019-03-07 08:00大陆上映,"夏目友人帳 ～うつせみに結ぶ～,剧情,动画,奇幻,
        日本
          / 105分钟
        ,2019-03-07 08:00大陆上映",/ 105分钟,"剧情,动画,奇幻",夏目友人帐
沿海小城，年轻警官杨家栋（井柏然 饰）初来乍到，恰遇建委主任唐奕杰（张颂文 饰）坠楼身亡，杨家栋展开调查，惨遭革职、追杀，一路逃往香港，与死者女儿小诺（马思纯 饰）意外邂逅，在小诺的协助下继续追查，浑然不觉自己正落入一个纯情陷阱。,娄烨,The Shadow Play,中国大陆,2019-04-04 08:00大陆上映,"The Shadow Play,剧情,悬疑,犯罪,
        中国大陆
          / 124分钟
        ,2019-04-04 08:00大陆上映",/ 124分钟,"剧情,悬疑,犯罪",风中有朵雨做的云
统领伯克岛的酋长嗝嗝（刘昊然 配音），与阿丝翠德（亚美莉卡·费雷拉 配音）共同打造了一个奇妙而热闹的飞龙乌托邦。一只雌性光煞飞龙的意外出现，加上一个前所未有的威胁的到来，令嗝嗝和没牙仔不得不离开自己唯一的家园，前往他们本以为只存在于神话之中的隐秘之境。在发现自己真正的命运之后，飞龙与骑士将携手殊死奋战，保护他们所珍爱的一切。,迪恩·德布洛斯,How To Train Your Dragon: The Hidden World,美国,2019-03-01大陆上映,"How To Train Your Dragon: The Hidden World,动画,动作,冒险,
        美国
          / 104分钟
        ,2019-03-01大陆上映",/ 104分钟,"动画,动作,冒险",驯龙高手3
太阳即将毁灭，人类在地球表面建造出巨大的推进器，寻找新家园。然而宇宙之路危机四伏，为了拯救地球，为了人类能在漫长的2500年后抵达新的家园，流浪地球时代的年轻人挺身而出，展开争分夺秒的生死之战。,郭帆,The Wandering Earth,中国大陆,2019-02-05大陆上映,"The Wandering Earth,剧情,冒险,科幻,
        中国大陆
          / 128分钟
        ,2019-02-05大陆上映",/ 128分钟,"剧情,冒险,科幻",流浪地球
影片剧情围绕X战警中最受欢迎成员之一的琴·葛蕾展开，讲述她逐渐转化为黑凤凰的故事。在一次危及生命的太空营救行动中，琴被神秘的宇宙力量击中，成为最强大的变种人。此后琴·葛蕾不仅要设法掌控日益增长、极不稳定的力量，更要与自己内心的恶魔抗争，她的失控让整个X战警大家庭分崩离析，也让整个星球陷入毁灭的威胁之中。,西蒙·金伯格,X-Men: Dark Phoenix,美国,2019大陆上映,"X-Men: Dark Phoenix,动作,冒险,科幻,
        美国
        ,2019大陆上映",,"动作,冒险,科幻",X战警：黑凤凰
平凡夫妻濮通（艾伦 饰）和米粒（王智 饰）因被公司拖欠工资导致交不起房租；富二代杨小伟（鲁诺 饰）不被亲爹宠爱，欠下巴爷（任达华 饰）一笔巨款无处偿还。被钱逼到绝路的三人相遇，索性上演了一出富二代绑架案，一路认怂的夫妻变身假绑匪，最穷富二代变身假人质…… 一番折腾下，杨小伟的首富爸爸杨台竣（金士杰 饰）最终承诺了1000万的“赎金”。但事情远不止这么简单，狡猾的杨台竣并不想真的付钱，黑帮老大巴爷也气势汹汹上门要债。面对大佬们的四面夹击，濮通、米粒和杨小伟三人会如何应对？,孙周,The Human Comedy,中国大陆,2019-03-29 08:00大陆上映,"The Human Comedy,剧情,喜剧,
        中国大陆
          / 90分钟
        ,2019-03-29 08:00大陆上映",/ 90分钟,"剧情,喜剧",人间·喜剧
改编自漫威漫画，也是漫威电影宇宙第22部影片。复仇者联盟的一众超级英雄，必须抱着牺牲一切的信念，与史上最强大反派灭霸殊死一搏，阻止其摧毁宇宙的邪恶计划。,乔·罗素,Avengers: Endgame,美国,2019-04-24大陆上映,"Avengers: Endgame,动作,冒险,奇幻,
        美国
          / 181分钟
        ,2019-04-24大陆上映",/ 181分钟,"动作,冒险,奇幻",复仇者联盟4：终局之战
熊大（张伟 配音）熊二（张秉君 配音）光头强（谭笑 配音）意外穿越回恢宏的石器时代，与猛犸象、剑齿虎、史前大鸟等一众奇特生物、以及原始人类开启一段眼界大开的奇幻之旅！原始时代瑰丽非常，却又危机四伏。熊强三人组磕磕绊绊，笑料百出。一只可爱狼女一路相伴，背后竟是人族与狼族的对立。面对原始人类的不断质疑、凶猛狼族的步步紧逼、自然危机的全面爆发，熊强究竟何去何从？他们又能否回归现代？一场关于守护与成长、爱与勇气的冒险，已经拉开序幕……,丁亮,Boonie Bears: Blast into the Past,中国大陆,2019-02-05 08:00大陆上映,"Boonie Bears: Blast into the Past,喜剧,动画,冒险,
        中国大陆
          / 92分钟
        ,2019-02-05 08:00大陆上映",/ 92分钟,"喜剧,动画,冒险",熊出没·原始时代
未来26世纪，科技发展，人类与机械改造人共存，弱肉强食是钢铁城唯一的生存法则。依德（克里斯托夫·沃尔兹 饰）是钢铁城著名的改造人医生，他在垃圾场发现了一个半机械少女残躯，依德医生将其拯救后为她取名阿丽塔（罗莎·萨拉扎尔 饰）。阿丽塔虽然重获生命却失去了记忆，如一个新生儿一样对这个世界充满新鲜感。在依德医生与好友雨果（基恩·约翰逊 饰）的帮助下，她逐步适应着新生活和街头险恶。一次偶然的机会，阿丽塔发现自己竟有着惊人的战斗天赋。 一次次猎杀激发着她的觉醒，阿丽塔逐渐明白自己注定为战斗而生，为正义而战。一场揭开自己身世之谜，并打破宇宙旧秩序的史诗级冒险之旅就这样展开。,罗伯特·罗德里格兹,Alita: Battle Angel,美国,2019-02-22大陆上映,"Alita: Battle Angel,动作,冒险,科幻,
        美国
          / 122分钟
        ,2019-02-22大陆上映",/ 122分钟,"动作,冒险,科幻",阿丽塔：战斗天使
曾主演过《速度与激情3：东京漂移》的男星卢卡斯·布莱克宣布将加盟《速度与激情7》，据悉，他不仅将加盟第七部，而且已经确定要参演第八部和第九部。这似乎证实了之前媒体的猜测：《速度与激情》的7-9将成为一部新的系列三部曲。,林诣彬,Fast & Furious 9,美国,2020-04-10美国上映,"Fast & Furious 9,动作,惊悚,犯罪,
        美国
          / 138分钟
        ,2020-04-10美国上映",/ 138分钟,"动作,惊悚,犯罪",速度与激情9
最受关注的漫威超级英雄大片《蜘蛛侠：英雄远征》依旧由导演乔·沃茨执导，汤姆·赫兰德继续饰演蜘蛛侠彼得·帕克。此次蜘蛛侠将前往欧洲展开新的征程，并将对抗由杰克·吉伦哈尔加盟饰演的大反派神秘客，赞达亚、雅各布·巴特朗、托尼·雷沃罗利等原班人马也将悉数回归。本片将于2019年7月5日北美上映，经历了第一部的成长经历后，蜘蛛侠又会面临怎样的危机？敬请期待。 …,乔·沃茨,Spider-Man: Far From Home,美国,2019-07-02美国上映,"Spider-Man: Far From Home,动作,冒险,喜剧,
        美国
        ,2019-07-02美国上映",,"动作,冒险,喜剧",蜘蛛侠：英雄远征
一名黑人钢琴家，为前往种族歧视严重的南方巡演，找了一个粗暴的白人混混做司机。在一路开车南下的过程里，截然不同的两人矛盾不断，引发了不少争吵和笑料。但又在彼此最需要的时候，一起共渡难关。行程临近结束，两人也慢慢放下了偏见......     绿皮书，是一本专为黑人而设的旅行指南，标注了各城市中允许黑人进入的旅店、餐馆。电影由真实故事改编。,彼得·法雷里,Green Book,美国,2019-03-01大陆上映,"Green Book,剧情,喜剧,传记,
        美国
          / 130分钟
        ,2019-03-01大陆上映",/ 130分钟,"剧情,喜剧,传记",绿皮书
曾经在赛车界叱咤风云、如今却只能经营炒饭大排档的赛车手张驰（沈腾 饰）决定重返车坛挑战年轻一代的天才。然而没钱没车没队友，甚至驾照都得重新考，这场笑料百出不断被打脸的复出之路，还有更多哭笑不得的窘境在等待着这位过气车神……,韩寒,Pegasus,中国大陆,2019-02-05大陆上映,"Pegasus,喜剧,动作,
        中国大陆
          / 98分钟
        ,2019-02-05大陆上映",/ 98分钟,"喜剧,动作",飞驰人生
年轻的刘耀军（王景春 饰）和沈英明（徐程 饰）两家人本是挚友，两家儿子沈浩和刘星在郊外嬉戏中，耀军的儿子刘星意外身亡，此事彻底改变了两家人的命运。刘家夫妇远赴南方。多年后，容颜已老的他们再次相聚，隐藏的真相终将因为年轻一代人的坦荡而揭开。岁月流逝，生命滚滚向前……,王小帅,"So Long ,My Son",中国大陆,2019-03-22大陆上映,"So Long ,My Son,剧情,
        中国大陆
          / 175分钟
        ,2019-03-22大陆上映",/ 175分钟,剧情,地久天长
故事围绕着19世纪末，与海盗船一同沉入新加坡海域的世界上最大的蓝宝石“绀青之拳”。 当当地富豪进行回收，又让这颗宝石重现世间的时候…… 在新加坡金沙竟然发生了杀人事件，现场留下沾血的怪盗基德的预告函。 这时，小兰和园子为了观战空手道淘汰赛到访新加坡。 没有护照不能出国的柯南本来应该留在日本，可是基德打算利用柯南—— 于是使用了魔术一般的方法，将柯南强制带到新加坡境内。 如果不对基德唯命是从，就无法回到日本—— 柯南的眼镜、手表、衣服全部被没收，进行了变装。 这并没有被小兰识破，当小兰问其名字时，柯南脱口而出「我叫阿瑟·平井」。 （阿瑟柯南道尔+江户川乱步的本名平井？！） 不久，基德获悉了在某宅邸的地下金库藏着这颗宝石的情报。 以为轻轻松松就可以成功侵入的基德，此时正有无比危险的陷阱在等着他……,高山南,名探偵コナン 紺青の拳,日本,2019-04-12日本上映,"名探偵コナン 紺青の拳,动画,悬疑,
        日本
        ,2019-04-12日本上映",,"动画,悬疑",名侦探柯南：绀青之拳
耿浩（黄渤 饰）与一心想发大财的好兄弟大飞（沈腾 饰），经营着各自惨淡的“事业”，然而“天外来客”（徐峥 饰）的意外降临，打破了二人平静又拮据的生活。神秘的西方力量也派出“哼哈二将”在全球搜查外星人行踪。啼笑皆非的跨物种对决，别开生面的“星战”，在中国某海边城市激情上演。,宁浩,Crazy Alien,"中国大陆,美国",2019-02-05大陆上映,"Crazy Alien,剧情,喜剧,科幻,
        中国大陆,美国
          / 116分钟
        ,2019-02-05大陆上映",/ 116分钟,"剧情,喜剧,科幻",疯狂的外星人
唱片制作人张哲凯（刘以豪 饰）和王牌作词人宋媛媛（陈意涵 饰）相依为命，两人自幼身世坎坷只有彼此为伴，他们是亲人、是朋友，也彷佛是命中注定的另一半。父亲罹患遗传重症而被母亲抛弃的哲凯，深怕自己随时会发病不久人世，始终没有跨出友谊的界线对媛媛展露爱意。眼见哲凯的病情加重，他暗自决定用剩余的生命完成他们之间的终曲，再为媛媛找个可以托付一生的好男人。这时，事业有成温柔体贴的医生（张书豪 饰）适时的出现让他成为照顾媛媛的最佳人选，二人按部就班发展着关系。一切看似都在哲凯的计划下进行。然而，故事远比这里所写更要悲伤......,林孝谦,More Than Blue,中国台湾,2019-03-14大陆上映,"More Than Blue,剧情,爱情,
        中国台湾
          / 107分钟
        ,2019-03-14大陆上映",/ 107分钟,"剧情,爱情",比悲伤更悲伤的故事
《速度与激情》系列的八部电影在全球共收获了近50亿美元票房。该系列最新推出《速度与激情：特别行动》，由道恩·强森和杰森·斯坦森担纲主演，继续卢克·霍布斯和德卡特·肖的故事。  一个是美国外交安全局的忠诚特工、身材魁梧的执法者霍布斯（强森 饰），一个是前英国军事特工精英、无法无天的恶棍肖（斯坦森 饰）。在2015年的《速度与激情7》中首次对峙之后，两人不论言语还是肢体都冲突不断，一直试图打倒对方。  然而，通过高科技进行了基因增强的无政府主义者布里克斯顿（伊德瑞斯·艾尔巴饰）控制了一种可能永远改变人类命运的不为人知的生化武器，并且还打败了一位大胆优秀又特立独行的军情六处特工（曾出演《王冠》的凡妮莎·科比饰）——她恰好是肖的妹妹，为了扳倒这个世界上唯一可能比他们更厉害的敌人，这两个不共戴天的宿敌不得不联手。  《速度与激情：特别行动》一片在《速度与激情》系列的宇宙中推开了一扇全新的大门。从洛杉矶到伦敦，从切尔诺贝利的有毒废墟到美丽的南太平洋岛国萨摩亚，本次特别行动席卷全球。  该片由大卫·雷奇执导(《死侍2》导演)，由《速度与激情》系列故事的缔造者克里斯·摩根编剧，摩根、强森、斯坦森和海拉姆·加西亚共同担纲制片。丹尼·加西亚、凯利·麦考密克、 、史蒂文·查斯曼、伊森·史密斯和安斯利·戴维斯担任监制。,大卫·雷奇,Fast & Furious Presents: Hobbs & Shaw,美国,2019大陆上映,"Fast & Furious Presents: Hobbs & Shaw,动作,惊悚,犯罪,
        美国
          / 133分钟
        ,2019大陆上映",/ 133分钟,"动作,惊悚,犯罪",速度与激情：特别行动
佛莱德·摩克瑞（拉米·马雷克 饰）曾是希思罗机场的一名普通搬运工，对音乐满腔热血的他，与布莱恩·梅（格威利姆·李 饰）、罗杰·泰勒（本·哈迪 饰）、约翰·迪肯（约瑟夫·梅泽罗 饰）组成皇后乐队。这个殿堂级乐队的从无到有，从疏离到重聚，从低谷到巅峰，仿佛就是佛莱德一生的缩影。在最后的日子里，佛莱德做了生命中最重要的决定——在音乐史上最伟大的“拯救生命”大型摇滚乐演唱会上，将所有热血付诸于歌声。,布莱恩·辛格,Bohemian Rhapsody,"英国,美国",2019-03-22大陆上映,"Bohemian Rhapsody,剧情,音乐,传记,
        英国,美国
          / 131分钟
        ,2019-03-22大陆上映",/ 131分钟,"剧情,音乐,传记",波西米亚狂想曲
卡罗尔·丹弗斯（布丽·拉尔森 饰）是克里人的精英部队一员，但她挣扎着回忆过去，对于怎么获得超能力、以及之前的人生等超能力之前的人生，她只在梦中有片段不成章的记忆，这层困扰引起的情绪波动也进而影响她对超能力的掌控。所幸，在星际战队指挥官（裘德·洛 饰）的调教之下，卡罗尔·丹弗斯学会如何控制自己的超能力。一次外星任务中，卡罗尔·丹弗斯因故来到了地球，并遇到还是低阶探员的尼克·弗瑞（塞缪尔·杰克逊 饰），卡罗尔·丹弗斯与尼克·弗瑞一起追捕在地球惹事的变形人塔罗斯（本·门德尔森 饰），同时，也发现自己如何获得超能力。,安娜·波顿,Captain Marvel,美国,2019-03-08大陆上映,"Captain Marvel,动作,冒险,科幻,
        美国
          / 124分钟
        ,2019-03-08大陆上映",/ 124分钟,"动作,冒险,科幻",惊奇队长
银河系中的至尊霸主灭霸带着几个得力手下洗劫了全宇宙，只为了将所有的无限宝石镶嵌于金属手套上，这个手套可以将整个银河系毁灭于弹指间。为了拯救宇宙，托尼·斯塔克和史蒂夫·罗杰斯需要摒弃前嫌，重组复仇者联盟，并与蜘蛛侠、奇异博士、银河护卫队、黑豹以及瓦坎达人民的力量一同作战 。,安东尼·罗素,Avengers:Infinity War,美国,2018-05-11大陆上映,"Avengers:Infinity War,动作,冒险,科幻,
        美国
          / 150分钟
        ,2018-05-11大陆上映",/ 150分钟,"动作,冒险,科幻",复仇者联盟3：无限战争
content,director,ename,location,maidenshow,movietime,movietype,name
影片讲述了一直假装盲人的钢琴调音师阿卡什（阿尤斯曼·库拉纳 饰），在意外成为一起凶杀案的“目击证人”后，所遭遇的种种出其不意的经历。,斯里兰姆·拉格万,AndhaDhun,印度,2019-04-03 18:00大陆上映,/ 137分钟,"悬疑,犯罪,喜剧",调音师
